race_name,race_class,name,nationality,rider_id,final_position,total_time,total_points,pro_points,queen_points,power_points,team.teamClass,team.teamClassId,team.teamId,team.teamName,stage_1_time,stage_1_stage_result,stage_1_cumulative_result,stage_1_cumulative_behind,stage_1_overall_time,stage_2_time,stage_2_stage_result,stage_2_cumulative_result,stage_2_cumulative_behind,stage_2_overall_time,stage_3_time,stage_3_stage_result,stage_3_cumulative_result,stage_3_cumulative_behind,stage_3_overall_time,stage_4_time,stage_4_stage_result,stage_4_cumulative_result,stage_4_cumulative_behind,stage_4_overall_time,stage_5_time,stage_5_stage_result,stage_5_cumulative_result,stage_5_cumulative_behind,stage_5_overall_time,stage_6_time,stage_6_stage_result,stage_6_cumulative_result,stage_6_cumulative_behind,stage_6_overall_time,stage_0_time,stage_0_stage_result,stage_0_cumulative_result,stage_0_cumulative_behind,stage_0_overall_time
EWS Val Di Fassa,WOMEN,STEINTHALER Hanna,AUT,40424,DNF,DNF,0,N/A,N/A,N/A,Pro,2,4,Cube Action Team,+00:00:04:45.880,38,38,+00:00:00:37.380,+00:00:04:45.880,+00:00:09:56.940,36,36,+00:00:01:57.210,+00:00:14:42.820,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,DNF,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Master 35+,PAULIN Louise Margareta,SWE,21619,1,+00:00:43:04.990,170,10,10,N/A,Premier,1,11,Ibis Enduro Team,+00:00:04:36.650,2,2,+00:00:00:05.630,+00:00:04:36.650,+00:00:09:41.310,1,2,+00:00:00:00.110,+00:00:14:17.960,+00:00:08:46.630,1,1,+00:00:00:00.000,+00:00:23:04.590,+00:00:04:22.250,1,1,+00:00:00:00.000,+00:00:27:26.840,+00:00:15:38.150,2,1,+00:00:00:00.000,+00:00:43:04.990,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Master 35+,NESTLEROVA Fejola Stepanka,CZE,21761,2,+00:00:43:26.710,130,15,15,N/A,N/A,N/A,N/A,N/A,+00:00:04:31.020,1,1,+00:00:00:00.000,+00:00:04:31.020,+00:00:09:46.830,2,1,+00:00:00:00.000,+00:00:14:17.850,+00:00:09:05.350,2,2,+00:00:00:18.610,+00:00:23:23.200,+00:00:04:29.770,2,2,+00:00:00:26.130,+00:00:27:52.970,+00:00:15:33.740,1,2,+00:00:00:21.720,+00:00:43:26.710,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Master 35+,NEWELL Melissa,NZL,21458,3,+00:00:46:57.980,60,5,5,N/A,N/A,N/A,N/A,N/A,+00:00:04:51.290,3,3,+00:00:00:20.270,+00:00:04:51.290,+00:00:10:39.640,3,3,+00:00:01:13.080,+00:00:15:30.930,+00:00:09:41.620,3,3,+00:00:02:07.960,+00:00:25:12.550,+00:00:04:51.430,4,3,+00:00:02:37.140,+00:00:30:03.980,+00:00:16:54.000,3,3,+00:00:03:52.990,+00:00:46:57.980,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Master 35+,FILBY Maxine,GBR,36076,4,+00:00:49:55.660,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:05:35.250,6,6,+00:00:01:04.230,+00:00:05:35.250,+00:00:11:39.680,4,5,+00:00:02:57.080,+00:00:17:14.930,+00:00:10:01.120,4,4,+00:00:04:11.460,+00:00:27:16.050,+00:00:05:05.800,5,4,+00:00:04:55.010,+00:00:32:21.850,+00:00:17:33.810,4,4,+00:00:06:50.670,+00:00:49:55.660,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Master 35+,MCCONNELOUG Mary,USA,22390,5,+00:00:51:33.930,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:05:20.700,5,5,+00:00:00:49.680,+00:00:05:20.700,+00:00:11:50.600,5,4,+00:00:02:53.450,+00:00:17:11.300,+00:00:10:37.350,6,5,+00:00:04:44.060,+00:00:27:48.650,+00:00:05:16.370,6,5,+00:00:05:38.180,+00:00:33:05.020,+00:00:18:28.910,6,5,+00:00:08:28.940,+00:00:51:33.930,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Master 35+,CONTENTOANGELL Kristine,USA,33608,6,+00:01:00:46.770,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:05:06.630,4,4,+00:00:00:35.610,+00:00:05:06.630,+00:00:16:05.990,6,6,+00:00:06:54.770,+00:00:21:12.620,+00:00:12:03.580,7,6,+00:00:10:11.610,+00:00:33:16.200,+00:00:05:18.570,7,6,+00:00:11:07.930,+00:00:38:34.770,+00:00:22:12.000,7,6,+00:00:17:41.780,+00:01:00:46.770,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Master 35+,THOMSEN Sandra Bohn,DEN,33584,7,+00:01:03:06.380,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+00:00:11:22.180,7,7,+00:00:06:51.160,+00:00:11:22.180,+00:00:18:37.650,7,7,+00:00:15:41.980,+00:00:29:59.830,+00:00:10:10.020,5,7,+00:00:17:05.260,+00:00:40:09.850,+00:00:04:47.800,3,7,+00:00:17:30.810,+00:00:44:57.650,+00:00:18:08.730,5,7,+00:00:20:01.390,+00:01:03:06.380,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Under 21,LAN Emmy,CAN,33463,1,+00:00:43:09.660,175,10,15,N/A,Pro,2,65,Norco Factory Team,+00:00:04:37.480,2,2,+00:00:00:01.260,+00:00:04:37.480,+00:00:09:35.500,1,1,+00:00:00:00.000,+00:00:14:12.980,+00:00:08:54.580,1,1,+00:00:00:00.000,+00:00:23:07.560,+00:00:04:25.570,1,1,+00:00:00:00.000,+00:00:27:33.130,+00:00:15:36.530,1,1,+00:00:00:00.000,+00:00:43:09.660,,,,,,,,,,
EWS Val Di Fassa,WOMEN | Under 21,RIVA Sophie,ITA,33949,2,+00:00:43:40.960,125,15,10,N/A,N/A,N/A,N/A,N/A,+00:00:04:36.220,1,1,+00:00:00:00.000,+00:00:04:36.220,+00:00:09:52.380,2,2,+00:00:00:15.620,+00:00:14:28.600,+00:00:08:55.430,2,2,+00:00:00:16.470,+00:00:23:24.030,+00:00:04:31.350,2,2,+00:00:00:22.250,+00:00:27:55.380,+00:00:15:45.580,2,2,+00:00:00:31.300,+00:00:43:40.960,,,,,,,,,,
